notes_clean,injured,activated,days_injured,injury_type,injury_duration,player_name,year_end,position,height,weight,college,career_length,prior_injuries
placed on il with strained right calf,2005-01-02,2005-01-18,16.0,muscle,medium,Clarence Weatherspoon,2005,F,6-6,240.0,Southern Miss,13,2
placed on il recovering from arthroscopic surgery on left knee,1984-10-25,1984-11-09,15.0,joint,medium,Clark Kellogg,1987,F,6-7,225.0,Ohio State,5,0
placed on il with knee injury,1984-02-13,,,joint,unknown,Clay Johnson,1984,G,6-4,175.0,Missouri,3,0
placed on il with ankle injury,2015-01-15,2015-01-23,8.0,joint,medium,Cleanthony Early,2016,F,6-8,210.0,Wichita State,2,0
placed on il with knee injury from gunshot wound,2016-01-01,2016-03-07,66.0,joint,long,Cleanthony Early,2016,F,6-8,210.0,Wichita State,2,1
placed on il with sore left knee,2015-10-28,2015-11-08,11.0,joint,medium,Cliff Alexander,2016,F,6-8,245.0,Kansas,1,0
placed on il with left knee tendinitis,2003-04-16,2005-11-12,941.0,joint,long,Clifford Robinson,2007,F-C,6-10,225.0,UConn,18,0
placed on il with sprained left knee,2006-11-24,2007-01-05,42.0,joint,medium,Clifford Robinson,2007,F-C,6-10,225.0,UConn,18,1
placed on il with sore left knee,2007-03-16,2007-03-23,7.0,joint,short,Clifford Robinson,2007,F-C,6-10,225.0,UConn,18,2
placed on il with strained groin,2014-10-28,2014-11-04,7.0,muscle,short,Clint Capela,2022,C,6-10,240.0,Skipped college,8,0
placed on il with fractured fibula in left leg,2016-12-20,2017-01-15,26.0,bone,medium,Clint Capela,2022,C,6-10,240.0,Skipped college,8,1
placed on il with fractured right orbital bone,2017-12-28,2017-12-31,3.0,bone,short,Clint Capela,2022,C,6-10,240.0,Skipped college,8,2
placed on il with concussion,2019-11-15,2019-11-18,3.0,concussion,short,Clint Capela,2022,C,6-10,240.0,Skipped college,8,3
placed on il with illness,2019-11-27,2019-12-03,6.0,illness,short,Clint Capela,2022,C,6-10,240.0,Skipped college,8,4
placed on il with sprained left ankle,2022-01-09,2022-01-21,12.0,joint,medium,Clint Capela,2022,C,6-10,240.0,Skipped college,8,5
placed on il with hyperextended right knee,2022-04-16,2022-04-24,8.0,joint,medium,Clint Capela,2022,C,6-10,240.0,Skipped college,8,6
placed on il with strained right calf,2022-12-15,2022-12-23,8.0,muscle,medium,Clint Capela,2022,C,6-10,240.0,Skipped college,8,7
placed on il with strained right calf,2022-12-27,2023-01-16,20.0,muscle,medium,Clint Capela,2022,C,6-10,240.0,Skipped college,8,8
placed on ir with tendinitis in left knee,1995-11-02,1996-02-01,91.0,joint,long,Clint McDaniel,1996,G,6-4,180.0,Arkansas,1,0
placed on il with left knee tendinitis,1996-03-22,1996-04-22,31.0,joint,medium,Clint McDaniel,1996,G,6-4,180.0,Arkansas,1,1
placed on il with sore right knee,1992-12-30,1996-04-05,1192.0,joint,long,Clyde Drexler,1998,G,6-7,210.0,University of Houston,15,0
placed on il with surgery on right knee,1996-02-24,1996-04-05,41.0,joint,medium,Clyde Drexler,1998,G,6-7,210.0,University of Houston,15,1
placed on ir with swollen right knee,1996-04-21,1996-04-22,1.0,joint,short,Clyde Drexler,1998,G,6-7,210.0,University of Houston,15,2
placed on il with strained left hamstring,1997-02-06,1997-03-03,25.0,muscle,medium,Clyde Drexler,1998,G,6-7,210.0,University of Houston,15,3
placed on il with sore right shoulder,1998-01-10,1998-01-21,11.0,joint,medium,Clyde Drexler,1998,G,6-7,210.0,University of Houston,15,4
placed on il with surgery on left shoulder,2021-10-19,2021-11-15,27.0,joint,medium,Coby White,2022,G,6-5,195.0,UNC,3,0
placed on il with concussion,2020-02-08,2020-02-20,12.0,concussion,medium,Cody Martin,2022,G-F,6-5,205.0,"NC State, Nevada",3,0
placed on il with sprained left ankle,2021-05-03,2021-05-18,15.0,joint,medium,Cody Martin,2022,G-F,6-5,205.0,"NC State, Nevada",3,1
placed on il with sore left ankle,2022-02-07,2022-02-25,18.0,joint,medium,Cody Martin,2022,G-F,6-5,205.0,"NC State, Nevada",3,2
placed on il with sore left knee,2023-01-16,,,joint,unknown,Cody Martin,2022,G-F,6-5,205.0,"NC State, Nevada",3,3
placed on il with shoulder injury,2015-03-11,2015-03-20,9.0,joint,medium,Cody Zeller,2022,C-F,6-11,240.0,Indiana,9,0
placed on il with sore right shoulder out for season,2015-03-22,2015-11-15,238.0,joint,long,Cody Zeller,2022,C-F,6-11,240.0,Indiana,9,1
placed on il with ankle injury,2015-11-13,2015-11-15,2.0,joint,short,Cody Zeller,2022,C-F,6-11,240.0,Indiana,9,2
placed on il with strained right shoulder,2016-01-29,2016-02-03,5.0,muscle,short,Cody Zeller,2022,C-F,6-11,240.0,Indiana,9,3
placed on il with sore shoulder,2016-11-21,2016-11-25,4.0,joint,short,Cody Zeller,2022,C-F,6-11,240.0,Indiana,9,4
placed on il with concussion dtd,2017-01-02,2017-01-07,5.0,concussion,short,Cody Zeller,2022,C-F,6-11,240.0,Indiana,9,5
placed on il with bruised quadriceps,2017-01-25,2017-02-09,15.0,muscle,medium,Cody Zeller,2022,C-F,6-11,240.0,Indiana,9,6
placed on il with sore quadriceps,2017-02-11,2017-02-28,17.0,muscle,medium,Cody Zeller,2022,C-F,6-11,240.0,Indiana,9,7
bone bruise in right knee dtd,2017-10-20,2018-02-02,105.0,joint,long,Cody Zeller,2022,C-F,6-11,240.0,Indiana,9,8
placed on il with torn meniscus in left knee,2017-12-08,2018-02-02,56.0,joint,long,Cody Zeller,2022,C-F,6-11,240.0,Indiana,9,9
placed on il with sore left knee,2018-02-28,2018-03-04,4.0,joint,short,Cody Zeller,2022,C-F,6-11,240.0,Indiana,9,10
placed on il with sore left knee out for season,2018-03-10,2018-12-05,270.0,joint,long,Cody Zeller,2022,C-F,6-11,240.0,Indiana,9,11
placed on il with fractured right hand,2019-01-02,2019-02-05,34.0,bone,medium,Cody Zeller,2022,C-F,6-11,240.0,Indiana,9,12
placed on il with sore left knee out for season,2019-03-15,2019-11-30,260.0,joint,long,Cody Zeller,2022,C-F,6-11,240.0,Indiana,9,13
placed on il with fractured left hand,2020-12-26,2021-01-22,27.0,bone,medium,Cody Zeller,2022,C-F,6-11,240.0,Indiana,9,14
placed on il with bursitis in left shoulder,2021-03-19,2021-03-24,5.0,joint,short,Cody Zeller,2022,C-F,6-11,240.0,Indiana,9,15
placed on il with bruised right quadriceps  fractured patella in right knee,2021-12-08,2022-01-07,30.0,muscle,medium,Cody Zeller,2022,C-F,6-11,240.0,Indiana,9,16
placed on il with right knee injury,2022-01-15,2022-02-08,24.0,joint,medium,Cody Zeller,2022,C-F,6-11,240.0,Indiana,9,17
placed on il with fractured nose,2023-03-12,2023-03-28,16.0,bone,medium,Cody Zeller,2022,C-F,6-11,240.0,Indiana,9,18
placed on il with illness,2018-03-26,2018-04-01,6.0,illness,short,Cole Aldrich,2018,C,6-11,250.0,Kansas,8,0
placed on il with sprained right ankle,2021-11-24,2021-11-30,6.0,joint,short,Cole Anthony,2022,G,6-2,185.0,UNC,2,0
placed on il with sprained right ankle,2021-12-26,2022-01-05,10.0,joint,medium,Cole Anthony,2022,G,6-2,185.0,UNC,2,1
placed on il with sprained left toe out for season,2022-04-04,,,joint,unknown,Cole Anthony,2022,G,6-2,185.0,UNC,2,2
placed on il with right hamstring injury,2021-03-24,2021-03-27,3.0,muscle,short,Collin Sexton,2022,G,6-1,190.0,Alabama,4,0
placed on il with strained left groin,2021-04-11,2021-04-15,4.0,muscle,short,Collin Sexton,2022,G,6-1,190.0,Alabama,4,1
placed on il with concussion,2021-04-24,2021-04-30,6.0,concussion,short,Collin Sexton,2022,G,6-1,190.0,Alabama,4,2
placed on il recovering from surgery on left knee to repair torn meniscus out for season,2021-11-19,2022-12-22,398.0,joint,long,Collin Sexton,2022,G,6-1,190.0,Alabama,4,3
placed on il with strained right hamstring,2022-12-08,2022-12-22,14.0,muscle,medium,Collin Sexton,2022,G,6-1,190.0,Alabama,4,4
placed on il with strained left hamstring,2023-02-22,2023-04-04,41.0,muscle,medium,Collin Sexton,2022,G,6-1,190.0,Alabama,4,5
placed on il with abdominal strain,1999-02-19,1999-02-27,8.0,muscle,medium,Corey Benjamin,2003,G,6-6,200.0,Oregon State,5,0
placed on il with sprained right ankle,1999-11-01,1999-11-17,16.0,joint,medium,Corey Benjamin,2003,G,6-6,200.0,Oregon State,5,1
placed on ir with left ankle sprain,2000-02-15,2000-03-05,19.0,joint,medium,Corey Benjamin,2003,G,6-6,200.0,Oregon State,5,2
placed on il with sore left shoulder  right shoulder tendinitis per bulls media guide,2000-10-30,2000-11-11,12.0,joint,medium,Corey Benjamin,2003,G,6-6,200.0,Oregon State,5,3
placed on il with torn acl in right knee out for season,2008-12-01,2011-04-02,852.0,joint,long,Corey Brewer,2020,F-G,6-9,186.0,Florida,13,0
placed on il with knee injury,2011-03-24,2011-04-02,9.0,joint,medium,Corey Brewer,2020,F-G,6-9,186.0,Florida,13,1
placed on ir with mild concussion,2001-01-15,2001-01-29,14.0,concussion,medium,Corey Maggette,2013,F,6-6,218.0,Duke,14,0
placed on il with strained right groin,2001-04-16,2001-07-01,76.0,muscle,long,Corey Maggette,2013,F,6-6,218.0,Duke,14,1
placed on il with torn cartilage in right knee,2002-11-26,2002-12-26,30.0,joint,medium,Corey Maggette,2013,F,6-6,218.0,Duke,14,2
placed on il with torn ligament in left wrist,2005-04-13,2005-11-09,210.0,joint,long,Corey Maggette,2013,F,6-6,218.0,Duke,14,3
placed on il with left hamstring injury,2005-11-02,2005-11-09,7.0,muscle,short,Corey Maggette,2013,F,6-6,218.0,Duke,14,4
placed on il with sprained left foot,2005-12-07,2006-03-03,86.0,joint,long,Corey Maggette,2013,F,6-6,218.0,Duke,14,5
placed on il with bruised left knee,2006-12-13,2006-12-15,2.0,joint,short,Corey Maggette,2013,F,6-6,218.0,Duke,14,6
placed on il with foot injury ankle per cbc,2007-01-06,2007-01-10,4.0,joint,short,Corey Maggette,2013,F,6-6,218.0,Duke,14,7
placed on il with flu,2007-02-07,2007-02-11,4.0,illness,short,Corey Maggette,2013,F,6-6,218.0,Duke,14,8
placed on il with strained right hamstring,2007-11-21,2007-11-26,5.0,muscle,short,Corey Maggette,2013,F,6-6,218.0,Duke,14,9
placed on il with hamstring injury,2008-11-05,2008-11-13,8.0,muscle,medium,Corey Maggette,2013,F,6-6,218.0,Duke,14,10
placed on il with strained right hamstring,2008-12-12,2009-01-05,24.0,muscle,medium,Corey Maggette,2013,F,6-6,218.0,Duke,14,11
placed on il with sinus infection,2009-03-13,2009-03-15,2.0,illness,short,Corey Maggette,2013,F,6-6,218.0,Duke,14,12
placed on il with concussion,2010-12-20,2010-12-27,7.0,concussion,short,Corey Maggette,2013,F,6-6,218.0,Duke,14,13
placed on il with sore right knee,2011-03-08,2011-03-13,5.0,joint,short,Corey Maggette,2013,F,6-6,218.0,Duke,14,14
placed on il with strained right achilles tendon,2012-03-31,2012-04-07,7.0,muscle,short,Corey Maggette,2013,F,6-6,218.0,Duke,14,15
placed on il with strained left calf,2012-10-31,2012-11-14,14.0,muscle,medium,Corey Maggette,2013,F,6-6,218.0,Duke,14,16
placed on il with flu,2013-01-06,2013-01-17,11.0,illness,medium,Corey Maggette,2013,F,6-6,218.0,Duke,14,17
placed on il with abdominal strain,1992-12-02,1992-12-15,13.0,muscle,medium,Corey Williams,1994,G,6-2,190.0,Oklahoma State,2,0
placed on il with torn ligament in right thumb,1997-01-10,1997-02-12,33.0,joint,medium,Corie Blount,2004,F,6-9,240.0,Cincinnati,11,0
underwent surgery on left knee to remove torn cartilage,1999-05-04,2000-01-11,252.0,joint,long,Corie Blount,2004,F,6-9,240.0,Cincinnati,11,1
placed on ir with arthroscopic left knee surgery,1999-11-01,2000-01-11,71.0,joint,long,Corie Blount,2004,F,6-9,240.0,Cincinnati,11,2
placed on il with bruised right knee,2002-04-17,2002-04-18,1.0,joint,short,Corie Blount,2004,F,6-9,240.0,Cincinnati,11,3
placed on ir with strained left hamstring left knee tendinitis per bulls media guide,2002-11-08,2002-11-19,11.0,muscle,medium,Corie Blount,2004,F,6-9,240.0,Cincinnati,11,4
placed on il with sprained left knee,2004-02-28,,,joint,unknown,Corie Blount,2004,F,6-9,240.0,Cincinnati,11,5
placed on il with sprained right ankle,1995-12-02,1995-12-13,11.0,joint,medium,Cory Alexander,2005,G,6-1,185.0,Virginia,10,0
placed on il with strained lower back,1999-02-27,1999-03-09,10.0,muscle,medium,Cory Carr,1999,G,6-3,210.0,Texas Tech,1,0
placed on il with stomach virus,2013-12-23,2013-12-25,2.0,illness,short,Cory Joseph,2022,G,6-3,200.0,Texas,11,0
placed on il with sore left ankle,2021-04-15,2021-04-17,2.0,joint,short,Cory Joseph,2022,G,6-3,200.0,Texas,11,1
placed on il with left ankle injury,2021-04-22,2021-04-24,2.0,joint,short,Cory Joseph,2022,G,6-3,200.0,Texas,11,2
placed on il with sore right knee,2023-01-19,2023-01-23,4.0,joint,short,Cory Joseph,2022,G,6-3,200.0,Texas,11,3
placed on il with bruised left shin and sprained left ankle,2001-12-11,2001-12-26,15.0,joint,medium,Courtney Alexander,2003,G,6-5,205.0,"Virginia, Fresno State",3,0
placed on il with sprained left ankle,2002-01-12,2002-01-24,12.0,joint,medium,Courtney Alexander,2003,G,6-5,205.0,"Virginia, Fresno State",3,1
placed on il recovering from surgery to repair fractured sinus,2009-04-30,2009-05-08,8.0,bone,medium,Courtney Lee,2020,G,6-5,215.0,Western Kentucky,12,0
placed on il with sprained left ankle,2010-02-28,2011-02-21,358.0,joint,long,Courtney Lee,2020,G,6-5,215.0,Western Kentucky,12,1
placed on il with concussion,2014-11-01,2014-11-05,4.0,concussion,short,Courtney Lee,2020,G,6-5,215.0,Western Kentucky,12,2
placed on il with sprained left ankle dtd,2016-12-02,2016-12-06,4.0,joint,short,Courtney Lee,2020,G,6-5,215.0,Western Kentucky,12,3
placed on il with stomach virus,2012-03-17,2012-03-21,4.0,illness,short,Craig Brackins,2012,F,6-10,230.0,Iowa State,2,0
placed in ir with arthroscopic surgery on knee,1994-11-03,1994-11-29,26.0,joint,medium,Craig Ehlo,1997,G-F,6-6,180.0,Washington State,14,0
surgery on left knee out 46 weeks,1995-02-14,1995-03-23,37.0,joint,medium,Craig Ehlo,1997,G-F,6-6,180.0,Washington State,14,1
placed on il with torn cartilage in left knee,1995-02-24,1995-03-23,27.0,joint,medium,Craig Ehlo,1997,G-F,6-6,180.0,Washington State,14,2
placed on il with sore right knee,1997-04-15,1997-04-20,5.0,joint,short,Craig Ehlo,1997,G-F,6-6,180.0,Washington State,14,3
placed on il with strained lower back,1990-03-25,1990-04-14,20.0,muscle,medium,Craig Hodges,1992,G,6-2,190.0,Cal State Long Beach,10,0
placed on il with sprained left knee,1991-11-07,1991-12-17,40.0,joint,medium,Craig Hodges,1992,G,6-2,190.0,Cal State Long Beach,10,1
placed on il with sprained left ankle,2007-11-14,2007-11-16,2.0,joint,short,Craig Smith,2012,F,6-7,250.0,Boston College,6,0
placed on il with migraine headache,2010-03-15,2010-03-17,2.0,concussion,short,Craig Smith,2012,F,6-7,250.0,Boston College,6,1
placed on il with strained lower right leg,2017-02-06,2017-02-08,2.0,muscle,short,Cristiano Felicio,2018,F-C,6-10,275.0,Skipped college,3,0
placed on il with illness,2019-12-28,2020-01-03,6.0,illness,short,Cristiano Felicio,2018,F-C,6-10,275.0,Skipped college,3,1
placed on il with illness,2021-04-30,2021-05-02,2.0,illness,short,Cristiano Felicio,2018,F-C,6-10,275.0,Skipped college,3,2
placed on il with broken right foot,2002-10-28,2003-11-08,376.0,bone,long,Curtis Borchardt,2005,C,7-0,240.0,Stanford,2,0
placed on il with fractured left index finger,2003-10-27,2003-11-08,12.0,bone,medium,Curtis Borchardt,2005,C,7-0,240.0,Stanford,2,1
placed on il with sprained left ankle,2002-11-22,2002-12-07,15.0,joint,medium,Cuttino Mobley,2009,G,6-4,190.0,Rhode Island,11,0
placed on il with sprained right ankle,2006-03-26,2006-04-18,23.0,joint,medium,Cuttino Mobley,2009,G,6-4,190.0,Rhode Island,11,1
placed on il with ankle injury,2006-04-16,2006-04-18,2.0,joint,short,Cuttino Mobley,2009,G,6-4,190.0,Rhode Island,11,2
placed on il with strained left groin,2007-02-20,2007-02-24,4.0,muscle,short,Cuttino Mobley,2009,G,6-4,190.0,Rhode Island,11,3
placed on il with illness,2016-01-04,2016-01-07,3.0,illness,short,D'Angelo Russell,2022,G,6-4,193.0,Ohio State,7,0
placed on il with sore left knee,2016-11-18,2016-11-20,2.0,joint,short,D'Angelo Russell,2022,G,6-4,193.0,Ohio State,7,1
placed on il with sore left knee,2016-11-22,2016-12-11,19.0,joint,medium,D'Angelo Russell,2022,G,6-4,193.0,Ohio State,7,2
placed on il with strained left calf  sprained ligament in right knee,2017-01-22,2017-01-31,9.0,muscle,medium,D'Angelo Russell,2022,G,6-4,193.0,Ohio State,7,3
placed on il with sore left knee,2017-04-05,2017-04-07,2.0,joint,short,D'Angelo Russell,2022,G,6-4,193.0,Ohio State,7,4
placed on il with sprained right knee,2017-10-25,2017-10-27,2.0,joint,short,D'Angelo Russell,2022,G,6-4,193.0,Ohio State,7,5
placed on il with bruised left knee,2017-11-14,2018-01-19,66.0,joint,long,D'Angelo Russell,2022,G,6-4,193.0,Ohio State,7,6
placed on il with sprained right thumb,2019-11-29,2019-12-04,5.0,joint,short,D'Angelo Russell,2022,G,6-4,193.0,Ohio State,7,7
placed on il with right shoulder injury,2020-01-04,2020-01-12,8.0,joint,medium,D'Angelo Russell,2022,G,6-4,193.0,Ohio State,7,8
placed on il with bruised right quadriceps,2020-02-08,2020-02-10,2.0,muscle,short,D'Angelo Russell,2022,G,6-4,193.0,Ohio State,7,9
placed on il with bruised right quadriceps,2021-01-23,2021-01-29,6.0,muscle,short,D'Angelo Russell,2022,G,6-4,193.0,Ohio State,7,10
placed on il with right quadricep injury,2021-02-06,2021-02-08,2.0,muscle,short,D'Angelo Russell,2022,G,6-4,193.0,Ohio State,7,11
placed on il with sprained right ankle,2021-11-02,2021-11-08,6.0,joint,short,D'Angelo Russell,2022,G,6-4,193.0,Ohio State,7,12
placed on il with sore right ankle,2021-12-06,2021-12-12,6.0,joint,short,D'Angelo Russell,2022,G,6-4,193.0,Ohio State,7,13
placed on il with hamstring injury,2022-03-07,2022-03-09,2.0,muscle,short,D'Angelo Russell,2022,G,6-4,193.0,Ohio State,7,14
placed on il with hamstring injury out for season,2022-04-07,2022-12-18,255.0,muscle,long,D'Angelo Russell,2022,G,6-4,193.0,Ohio State,7,15
placed on il with bruised left knee,2022-12-14,2022-12-18,4.0,joint,short,D'Angelo Russell,2022,G,6-4,193.0,Ohio State,7,16
placed on il with sprained right ankle,2023-02-26,2023-03-09,11.0,joint,medium,D'Angelo Russell,2022,G,6-4,193.0,Ohio State,7,17
placed on il with strained abdominal muscle,2009-01-13,2009-02-06,24.0,muscle,medium,D.J. Augustin,2022,G,5-11,183.0,Texas,14,0
placed on il with strained left hamstring dtd,2017-11-08,2017-11-18,10.0,muscle,medium,D.J. Augustin,2022,G,5-11,183.0,Texas,14,1
placed on il with left knee injury,2020-01-15,2020-02-21,37.0,joint,medium,D.J. Augustin,2022,G,5-11,183.0,Texas,14,2
placed on il with strained left calf,2020-12-23,2020-12-25,2.0,muscle,short,D.J. Augustin,2022,G,5-11,183.0,Texas,14,3
placed on il with stomach illness,2021-03-21,2021-03-22,1.0,illness,short,D.J. Augustin,2022,G,5-11,183.0,Texas,14,4
placed on il with sprained left ankle,2021-04-14,2021-04-21,7.0,joint,short,D.J. Augustin,2022,G,5-11,183.0,Texas,14,5
placed on il with strained right hamstring,2004-12-09,2005-01-14,36.0,muscle,medium,D.J. Mbenga,2011,C,7-0,245.0,Skipped college,7,0
placed on il with strained right hamstring,2005-02-01,2005-02-23,22.0,muscle,medium,D.J. Mbenga,2011,C,7-0,245.0,Skipped college,7,1
placed on il with strained right hamstring,2005-03-30,2006-06-18,445.0,muscle,long,D.J. Mbenga,2011,C,7-0,245.0,Skipped college,7,2
placed on il with strained tendon in left foot,2006-11-02,2006-12-04,32.0,muscle,medium,D.J. Mbenga,2011,C,7-0,245.0,Skipped college,7,3
placed on il with torn acl in right knee out for season,2007-02-08,2008-11-28,659.0,joint,long,D.J. Mbenga,2011,C,7-0,245.0,Skipped college,7,4
placed on il with illness,2010-12-05,2010-12-08,3.0,illness,short,D.J. Mbenga,2011,C,7-0,245.0,Skipped college,7,5
placed on il recovering from surgery to repair fractured right thumb,2010-01-22,2010-03-02,39.0,bone,medium,D.J. White,2014,F,6-9,251.0,Indiana,6,0
placed on il with strained right hamstring,2018-10-17,2018-12-05,49.0,muscle,long,D.J. Wilson,2022,F,6-10,231.0,Michigan,5,0
placed on il with sore left knee,2022-03-01,2022-03-06,5.0,joint,short,D.J. Wilson,2022,F,6-10,231.0,Michigan,5,1
placed on il with hyperextended right knee,2011-12-26,2012-01-09,14.0,joint,medium,DaJuan Summers,2013,F,6-8,230.0,Georgetown,4,0
placed on il with sprained left ankle,2020-12-30,2021-02-12,44.0,joint,medium,DaQuan Jeffries,2022,G-F,6-5,230.0,"Oral Roberts, Tulsa",3,0
placed on il with sore right shoulder,2009-04-07,2009-04-10,3.0,joint,short,Daequan Cook,2013,G,6-5,205.0,Ohio State,6,0
placed on il with strained right shoulder,2009-11-01,2009-11-10,9.0,muscle,medium,Daequan Cook,2013,G,6-5,205.0,Ohio State,6,1
placed on il with knee injury,2012-03-21,2012-04-02,12.0,joint,medium,Daequan Cook,2013,G,6-5,205.0,Ohio State,6,2
placed on il with sprained left ankle,2003-10-27,2003-11-21,25.0,joint,medium,Dahntay Jones,2017,G-F,6-6,225.0,"Rutgers University, Duke",14,0
placed on il with sprained left triceps,2004-02-28,2005-03-14,380.0,joint,long,Dahntay Jones,2017,G-F,6-6,225.0,"Rutgers University, Duke",14,1
placed on il with left knee tendinitis,2005-02-25,2005-03-14,17.0,joint,medium,Dahntay Jones,2017,G-F,6-6,225.0,"Rutgers University, Duke",14,2
placed on il with left quadriceps tendinitis,2005-03-18,2005-04-03,16.0,muscle,medium,Dahntay Jones,2017,G-F,6-6,225.0,"Rutgers University, Duke",14,3
placed on il with bladder infection,2002-10-28,2002-11-16,19.0,illness,medium,Dajuan Wagner,2007,G,6-2,200.0,Memphis,5,0
placed on ir with right knee effusion,2003-10-27,2004-01-06,71.0,joint,long,Dajuan Wagner,2007,G,6-2,200.0,Memphis,5,1
placed on il with sprained right ankle,2004-11-01,2004-11-17,16.0,joint,medium,Dajuan Wagner,2007,G,6-2,200.0,Memphis,5,2
placed on il with bruised left knee,2021-12-28,2021-12-30,2.0,joint,short,Dalano Banton,2022,G-F,6-9,204.0,Nebraska,1,0
placed on il with sprained left ankle,2022-11-26,2022-11-28,2.0,joint,short,Dalano Banton,2022,G-F,6-9,204.0,Nebraska,1,1
placed on il with sprained left thumb,2023-02-28,2023-04-02,33.0,joint,medium,Dalano Banton,2022,G-F,6-9,204.0,Nebraska,1,2
placed on il with strained lower back,2003-04-16,2005-01-14,639.0,muscle,long,Dale Davis,2007,F-C,6-11,230.0,Clemson,16,0
placed on il with hamstring injury,2006-10-31,2006-11-10,10.0,muscle,medium,Dale Davis,2007,F-C,6-11,230.0,Clemson,16,1
placed on il with strained abdominal muscle,1998-04-17,1998-04-20,3.0,muscle,short,Dale Ellis,2000,G-F,6-7,205.0,Tennessee,17,0
placed on il with right knee tendinitis,2000-03-17,,,joint,unknown,Dale Ellis,2000,G-F,6-7,205.0,Tennessee,17,1
placed on il with sore right knee,2000-10-30,2000-11-21,22.0,joint,medium,Dalibor Bagaric,2003,C,7-1,255.0,Skipped college,3,0
placed on il with right knee tendinitis,2000-12-19,2001-01-18,30.0,joint,medium,Dalibor Bagaric,2003,C,7-1,255.0,Skipped college,3,1
placed on il with left knee tendinitis,2002-11-19,2002-12-16,27.0,joint,medium,Dalibor Bagaric,2003,C,7-1,255.0,Skipped college,3,2
placed on il with left knee tendinitis,2002-12-28,2003-02-01,35.0,joint,medium,Dalibor Bagaric,2003,C,7-1,255.0,Skipped college,3,3
placed on il with right knee tendinitis,2003-02-12,2003-03-06,22.0,joint,medium,Dalibor Bagaric,2003,C,7-1,255.0,Skipped college,3,4
placed on il with sprained left ankle,2003-03-22,2003-04-11,20.0,joint,medium,Dalibor Bagaric,2003,C,7-1,255.0,Skipped college,3,5
placed on il with torn pectoral muscle,2016-10-25,2016-10-28,3.0,muscle,short,Damian Jones,2022,F-C,6-11,245.0,Vanderbilt,6,0
placed on il with strained right hamstring,2017-12-22,2018-01-27,36.0,muscle,medium,Damian Jones,2022,F-C,6-11,245.0,Vanderbilt,6,1
placed on il with flu,2018-01-30,2018-02-02,3.0,illness,short,Damian Jones,2022,F-C,6-11,245.0,Vanderbilt,6,2
placed on il with torn pectoral muscle,2018-12-03,2019-05-14,162.0,muscle,long,Damian Jones,2022,F-C,6-11,245.0,Vanderbilt,6,3
placed on il with sprained left ankle,2016-12-26,2017-01-05,10.0,joint,medium,Damian Lillard,2022,G,6-2,195.0,Weber State,10,0
placed on il with strained right calf,2018-01-07,2018-01-10,3.0,muscle,short,Damian Lillard,2022,G,6-2,195.0,Weber State,10,1
placed on il with sprained left ankle,2018-04-05,2018-04-07,2.0,joint,short,Damian Lillard,2022,G,6-2,195.0,Weber State,10,2
placed on il with sore right knee,2019-01-26,2019-01-30,4.0,joint,short,Damian Lillard,2022,G,6-2,195.0,Weber State,10,3
placed on il with strained right groin,2020-03-02,2020-03-04,2.0,muscle,short,Damian Lillard,2022,G,6-2,195.0,Weber State,10,4
placed on il with sprained right knee out for season,2020-08-25,2021-02-06,165.0,joint,long,Damian Lillard,2022,G,6-2,195.0,Weber State,10,5
placed on il with strained abdominal,2021-02-04,2021-02-06,2.0,muscle,short,Damian Lillard,2022,G,6-2,195.0,Weber State,10,6
placed on il with bruised left knee,2021-03-26,2021-03-28,2.0,joint,short,Damian Lillard,2022,G,6-2,195.0,Weber State,10,7
placed on il with strained right calf,2022-11-05,2022-11-07,2.0,muscle,short,Damian Lillard,2022,G,6-2,195.0,Weber State,10,8
placed on il with surgery on right anklefoot,2014-10-29,2014-12-13,45.0,joint,medium,Damien Inglis,2016,F,6-8,246.0,Skipped college,1,0
placed on il with right ankle injury out for season,2014-12-26,2015-12-05,344.0,joint,long,Damien Inglis,2016,F,6-8,246.0,Skipped college,1,1
placed on il with sore ankle,2015-12-28,2016-01-05,8.0,joint,medium,Damien Inglis,2016,F,6-8,246.0,Skipped college,1,2
placed on il with right knee tendinitis,2004-12-11,2005-03-18,97.0,joint,long,Damien Wilkins,2018,F-G,6-6,225.0,"NC State, Georgia",14,0
placed on il with upper respiratory illness,2010-03-31,2010-04-03,3.0,illness,short,Damien Wilkins,2018,F-G,6-6,225.0,"NC State, Georgia",14,1
placed on il with broken right foot,2010-12-12,2011-02-25,75.0,bone,long,Damion James,2014,G-F,6-7,225.0,Texas,4,0
placed on il with concussion,2011-03-09,2011-03-17,8.0,concussion,medium,Damion James,2014,G-F,6-7,225.0,Texas,4,1
placed on il with fractured right hand,2019-11-12,2019-12-11,29.0,bone,medium,Damion Lee,2022,G,6-5,210.0,"Drexel, Louisville",5,0
placed on il with right shoulder injury,2021-10-30,2021-11-02,3.0,joint,short,Damion Lee,2022,G,6-5,210.0,"Drexel, Louisville",5,1
placed on il with right knee tendinitis,2001-10-29,2001-11-10,12.0,joint,medium,Damon Jones,2009,G,6-3,185.0,Houston,11,0
placed on il with sprained right ankle,2003-03-03,2007-02-25,1455.0,joint,long,Damon Jones,2009,G,6-3,185.0,Houston,11,1
placed on il with sprained right ankle,1998-03-13,1998-03-26,13.0,joint,medium,Damon Stoudamire,2008,G,5-10,171.0,Arizona,13,0
